dataset,problem,n,m,nnz_a,clarabel_1e-4,clarabel_1e-6,clarabel_1e-8,cvxopt_1e-4,cvxopt_1e-6,scs_cpu_1e-4,scs_cpu_1e-6,scs_cudss_1e-4,scs_cudss_1e-6,sdpa_1e-4,sdpa_1e-6,clarabel_1e-4_status,clarabel_1e-6_status,clarabel_1e-8_status,cvxopt_1e-4_status,cvxopt_1e-6_status,scs_cpu_1e-4_status,scs_cpu_1e-6_status,scs_cudss_1e-4_status,scs_cudss_1e-6_status,sdpa_1e-4_status,sdpa_1e-6_status
sdplib,infd1,10.0,465.0,4650.0,0.19,0.19,0.17,0.11,0.11,0.02,0.01,0.49,,0.03,0.03,dual_infeasible,dual_infeasible,dual_infeasible,primal_infeasible_inaccurate,primal_infeasible_inaccurate,dual_infeasible,dual_infeasible,dual_infeasible,,dual_infeasible,dual_infeasible
sdplib,infd2,10.0,465.0,4650.0,0.2,0.18,0.22,0.11,0.11,0.02,0.01,0.5,,0.03,0.03,dual_infeasible,dual_infeasible,dual_infeasible,primal_infeasible_inaccurate,primal_infeasible_inaccurate,dual_infeasible,dual_infeasible,dual_infeasible,,dual_infeasible,dual_infeasible
sdplib,infp1,10.0,465.0,4650.0,0.15,0.14,0.16,0.11,0.11,0.01,0.01,0.52,,0.03,0.03,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible
sdplib,infp2,10.0,465.0,4650.0,0.14,0.14,0.14,0.11,0.1,0.01,0.01,0.6,,0.02,0.03,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible_inaccurate,primal_infeasible,primal_infeasible,primal_infeasible,,primal_infeasible,primal_infeasible
sdplib,maxG11,800.0,320400.0,800.0,,,7.43,344.99,415.51,48.45,900.29,57.68,,5.89,7.71,,,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,maxG32,2000.0,2001000.0,2000.0,,,149.77,0.03,0.03,620.56,937.77,754.53,,53.22,66.46,,,optimal,solver_error,solver_error,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,maxG51,1000.0,500500.0,1000.0,,,990.0,956.99,990.0,68.18,904.84,87.61,,10.44,15.86,,,time_limit,optimal_inaccurate,time_limit,optimal_inaccurate,optimal_inaccurate,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,maxG55,5000.0,12502500.0,5000.0,,,,0.17,0.77,990.0,990.0,990.0,,577.38,795.21,,,,solver_error,solver_error,time_limit,time_limit,time_limit,,optimal_inaccurate,optimal
sdplib,maxG60,7000.0,24503500.0,7000.0,,,,0.2,0.4,990.0,990.0,990.0,,990.0,990.0,,,,solver_error,solver_error,time_limit,time_limit,time_limit,,time_limit,time_limit
sdplib,mcp100,100.0,5050.0,100.0,0.51,0.52,0.61,0.22,0.27,0.51,0.94,2.02,,0.07,0.1,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal,optimal
sdplib,mcp124-1,124.0,7750.0,124.0,0.02,0.03,0.04,0.44,0.53,1.27,1.99,4.63,,0.09,0.14,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,mcp124-2,124.0,7750.0,124.0,1.04,1.18,1.43,0.46,0.56,0.93,1.51,3.65,,0.09,0.14,optimal_inaccurate,optimal,optimal,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal
sdplib,mcp124-3,124.0,7750.0,124.0,4.56,4.83,6.22,0.39,0.59,0.91,1.42,3.69,,0.09,0.13,optimal_inaccurate,optimal,optimal,optimal_inaccurate,optimal,optimal_inaccurate,optimal,optimal_inaccurate,,optimal_inaccurate,optimal
